"Rank","Release Group","Worldwide","Domestic","%","Foreign","%"
1,"The Super Mario Bros. Movie",1356210570,574236720,"42.3%",781973850,"57.7%"
2,"Barbie",1183909000,526309000,"44.5%",657600000,"55.5%"
3,"Guardians of the Galaxy Vol. 3",845431987,358995815,"42.5%",486436172,"57.5%"
4,"Fast X",704709660,145960660,"20.7%",558749000,"79.3%"
5,"Spider-Man: Across the Spider-Verse",684406311,380718189,"55.6%",303688122,"44.4%"
6,"Oppenheimer",649027475,264269475,"40.7%",384758000,"59.3%"
7,"The Little Mermaid",566651843,297183805,"52.4%",269468038,"47.6%"
8,"Mission: Impossible - Dead Reckoning Part One",522455870,159555870,"30.5%",362900000,"69.5%"
9,"Ant-Man and the Wasp: Quantumania",476071180,214504909,"45.1%",261566271,"54.9%"
10,"Elemental",443639613,150239613,"33.9%",293400000,"66.1%"
11,"Transformers: Rise of the Beasts",436666392,157066392,"36%",279600000,"64%"
12,"John Wick: Chapter 4",426521880,187131806,"43.9%",239390074,"56.1%"
13,"Indiana Jones and the Dial of Destiny",370720274,172624353,"46.6%",198095921,"53.4%"
14,"Creed III",275248615,156248615,"56.8%",1.19e+08,"43.2%"
15,"The Flash",268478637,108078637,"40.3%",160400000,"59.7%"
16,"Meg 2: The Trench",256936917,54136917,"21.1%",202800000,"78.9%"
17,"Dungeons & Dragons: Honor Among Thieves",208177026,93277026,"44.8%",114900000,"55.2%"
18,"Insidious: The Red Door",185752827,81552827,"43.9%",104200000,"56.1%"
19,"Sound of Freedom",172813772,172813772,"100%",NA,"-"
20,"Scream VI",168961389,108161389,"64%",60800000,"36%"
21,"Evil Dead Rise",146733054,67233054,"45.8%",79500000,"54.2%"
22,"Shazam! Fury of the Gods",133838006,57638006,"43.1%",76200000,"56.9%"
23,"Pathaan",128780000,17487476,"13.6%",95095974,"73.8%"
24,"Detective Conan: Black Iron Submarine",105332916,NA,"-",105332916,"100%"
25,"Teenage Mutant Ninja Turtles: Mutant Mayhem",94689501,72789501,"76.9%",21900000,"23.1%"
26,"Air",89960106,52460106,"58.3%",37500000,"41.7%"
27,"Cocaine Bear",87649532,64388510,"73.5%",23261022,"26.5%"
