"Film","Opbrengste","Amerikaanse Markt","Andere Markt"
"The Super Mario Bros. Movie",1356210570,574236720,781973850
"Barbie",1183909000,526309000,657600000
"Guardians of the Galaxy Vol. 3",845431987,358995815,486436172
"Fast X",704709660,145960660,558749000
"Spider-Man: Across the Spider-Verse",684406311,380718189,303688122
"Oppenheimer",649027475,264269475,384758000
"The Little Mermaid",566651843,297183805,269468038
"Mission: Impossible - Dead Reckoning Part One",522455870,159555870,362900000
"Ant-Man and the Wasp: Quantumania",476071180,214504909,261566271
"Elemental",443639613,150239613,293400000
